user_id,location_id_number
3,529
3,299
3,72
3,484
3,126
3,477
3,477
3,477
3,477
3,406
3,236
3,236
3,236
3,406
3,406
3,344
3,344
3,53
3,380
3,380
3,186
3,560
3,560
3,65
3,65
3,65
3,249
3,249
3,299
3,50
3,352
3,213
3,213
3,213
3,141
3,121
3,526
3,526
3,428
3,263
3,428
3,428
3,263
3,263
3,428
3,428
3,298
3,298
3,298
3,530
3,432
3,432
3,299
3,299
3,299
3,417
3,417
3,285
3,340
3,340
3,340
3,239
3,285
3,390
3,285
3,285
3,325
3,325
3,528
3,528
3,299
3,299
3,206
3,533
3,533
3,533
3,533
3,533
3,533
3,299
3,299
3,528
3,253
3,401
3,299
3,299
3,287
3,287
3,534
3,387
3,387
3,535
3,264
3,264
3,264
3,264
3,264
3,264
3,264
3,264
3,264
3,264
10,88
10,88
3,264
3,534
3,387
3,387
3,432
3,299
3,299
3,406
3,285
3,290
3,285
3,64
3,64
3,64
3,64
3,336
3,299
3,299
3,299
3,159
3,159
3,399
3,299
3,520
3,3
3,531
3,531
3,531
3,547
3,312
3,312
3,320
3,299
10,88
3,285
3,285
3,285
3,285
3,285
3,520
3,433
3,285
3,478
3,285
3,478
3,478
3,478
3,299
3,285
3,285
3,393
2,428
2,428
3,285
2,10
2,622
3,34
3,299
3,285
3,285
2,357
2,357
2,455
3,403
3,440
3,48
3,48
3,285
10,240
3,462
10,88
3,462
3,285
3,18
3,18
3,461
3,299
2,618
3,384
2,529
2,212
2,212
2,266
2,455
3,170
3,567
2,602
2,602
2,455
3,537
3,537
3,537
2,229
2,242
2,455
10,88
3,406
10,53
10,53
3,285
3,190
3,285
10,88
2,10
2,10
3,432
2,371
2,10
3,497
3,367
3,204
3,89
3,107
2,10
2,455
3,396
2,50
2,50
2,25
2,25
2,613
2,552
2,552
2,447
2,622
2,234
2,102
2,102
3,89
3,112
3,89
10,88
10,88
3,44
3,314
10,268
10,268
10,268
3,432
3,299
10,324
10,159
10,159
10,339
10,339
2,48
2,48
3,481
2,563
2,563
10,339
3,520
3,520
10,339
3,55
2,615
2,627
3,55
10,339
2,622
2,188
3,406
3,510
3,406
2,401
3,440
3,135
2,619
2,85
3,406
3,432
2,52
3,148
3,539
3,539
3,479
2,138
3,479
3,538
10,341
3,538
10,341
10,341
3,561
2,17
2,555
2,555
2,22
2,48
2,240
10,339
10,339
10,339
3,561
10,339
3,561
10,339
2,472
3,8
3,538
3,217
3,479
3,71
10,339
3,22
3,22
3,432
10,339
3,406
5,107
10,130
3,431
10,88
5,77
5,77
5,227
3,285
5,227
5,77
10,105
3,293
3,293
2,302
10,88
5,369
3,406
5,329
5,365
5,3
5,85
3,281
3,406
3,406
3,293
3,293
2,625
5,148
10,147
10,88
3,406
2,295
2,295
10,88
3,186
2,24
2,18
2,555
3,135
3,135
5,148
10,108
10,92
3,229
3,229
2,232
5,148
10,92
3,299
3,299
2,510
10,236
10,236
5,363
5,217
2,510
10,108
5,364
5,329
5,369
5,369
2,590
