tenant_id,page_id
2,1429
2,683
1,478
2,1220
2,1296
4,271
2,718
1,401
2,115
2,766
2,1368
2,669
2,1243
2,327
2,267
2,725
1,478
2,1133
1,1388
2,660
2,728
2,832
2,818
1,213
2,429
2,727
2,1243
2,1099
1,965
2,727
1,513
2,840
1,774
2,210
2,81
2,727
4,471
2,342
2,727
2,715
2,144
2,270
2,727
2,746
1,669
2,651
1,832
2,661
2,1360
2,136
2,727
2,888
4,692
2,952
2,136
2,727
1,510
2,845
4,475
2,1175
2,728
2,1612
1,1201
1,56
1,1277
2,292
2,896
1,665
4,410
2,658
2,1268
2,669
2,581
2,896
2,867
2,141
2,777
2,867
2,727
2,727
1,1424
1,1539
1,355
2,862
2,607
4,669
1,657
1,605
2,345
1,591
2,836
2,769
2,1185
1,605
2,121
1,435
1,435
1,753
2,269
2,121
2,852
2,727
2,483
2,1185
2,1185
2,1117
2,1185
2,945
1,870
1,277
2,1185
2,992
2,786
4,261
2,1640
2,401
1,718
1,277
1,718
2,1220
2,677
2,828
2,660
1,1080
1,696
4,323
2,804
1,753
2,363
2,1364
1,605
2,616
2,121
2,986
1,1283
2,1404
2,745
2,1348
2,1373
2,571
1,762
2,783
1,781
2,1296
2,844
1,728
1,721
2,783
1,1109
4,799
1,1307
2,230
2,661
2,165
2,1470
2,1220
4,643
2,1050
1,1086
2,419
2,398
2,933
2,748
1,792
1,1086
4,641
2,621
2,383
4,615
1,537
2,896
2,1478
1,182
2,448
3,200
2,674
2,854
2,377
2,207
2,448
2,1381
2,1179
2,1243
2,461
2,1243
1,1012
3,340
2,896
2,597
2,873
2,983
2,795
2,845
2,1520
1,788
1,717
1,955
2,769
1,1026
2,317
2,1004
2,845
2,317
1,160
2,801
1,1297
2,573
1,1012
2,212
1,972
2,525
2,349
2,1124
4,726
2,1339
2,1050
2,274
1,877
1,401
1,605
2,314
1,434
1,890
2,368
1,241
4,152
2,495
1,604
1,375
1,1106
2,784
1,999
2,1339
1,755
2,336
2,447
2,1274
2,846
1,168
1,968
2,779
2,817
1,1014
2,642
2,948
2,1110
1,910
2,877
2,1116
2,238
2,1688
2,1560
2,513
4,609
2,1116
1,429
1,591
2,923
2,1210
1,566
2,1182
1,258
2,1046
2,810
2,159
2,1042
1,397
2,975
3,393
1,202
2,729
2,253
2,729
2,168
2,1337
1,709
2,1139
1,538
2,671
1,1089
2,671
1,755
2,862
2,464
2,677
2,1353
2,786
2,1170
2,1379
1,513
2,957
2,836
2,567
2,661
3,370
2,88
1,965
3,172
2,1437
2,1370
2,88
2,333
1,882
2,1196
2,356
1,592
2,660
4,294
2,686
2,753
2,1376
2,686
2,1087
1,715
2,1396
1,1336
2,754
1,1089
2,779
1,1534
1,320
2,923
1,440
2,651
2,834
1,182
2,576
2,660
1,879
3,245
1,930
1,778
2,764
2,1045
2,571
1,930
2,1504
1,930
2,277
1,1033
1,538
2,641
2,1116
4,323
1,930
1,930
1,538
1,1033
2,897
2,786
2,1727
1,598
1,1109
2,897
4,817
2,832
2,860
2,944
2,1433
4,641
2,802
1,214
2,731
1,755
2,267
2,527
2,783
2,858
2,571
2,743
2,544
2,1360
1,249
4,617
2,285
2,895
1,779
3,157
2,752
1,691
3,141
1,691
2,1539
2,212
2,618
2,1045
2,413
2,958
2,279
2,842
3,282
2,1295
1,641
2,400
2,283
1,796
2,1076
4,26
2,739
1,826
2,438
2,731
2,373
1,825
2,1162
1,695
2,1411
2,641
2,786
2,661
1,670
2,967
2,1126
2,571
1,838
4,867
2,750
1,669
2,753
3,343
1,598
2,750
1,1326
2,1444
2,753
1,702
2,1524
1,1510
2,1457
2,957
2,888
1,200
2,600
2,661
1,545
4,393
1,862
1,1281
3,29
1,643
2,722
2,669
2,700
2,587
1,576
2,618
2,365
1,605
2,794
2,753
2,876
2,677
2,669
2,1287
2,1485
2,1337
2,1339
1,499
3,14
1,755
1,154
2,1657
2,1068
2,1466
1,38
2,1323
1,548
2,786
2,404
1,724
2,887
4,441
2,761
1,756
2,272
2,1190
2,1715
2,1622
1,1076
2,655
4,865
2,688
4,534
2,1110
2,1353
1,487
2,1350
1,362
2,1294
2,557
2,669
2,1053
2,1715
2,1046
1,1207
2,716
2,887
2,525
2,1430
2,1219
1,766
2,1254
2,1178
1,1367
2,727
1,632
1,83
1,83
4,867
3,155
1,966
4,412
2,995
2,983
4,436
2,699
2,699
1,1232
1,964
2,412
2,26
2,830
4,175
1,487
1,964
2,1063
2,1102
4,867
1,518
2,992
2,830
2,716
2,830
2,1371
2,948
2,915
2,777
1,718
3,355
2,320
2,1658
2,544
2,568
4,36
1,811
1,94
2,836
1,351
2,431
1,718
1,362
2,184
2,225
1,811
2,833
1,815
2,778
2,1630
1,1443
1,518
2,817
2,974
1,756
2,728
2,1458
1,959
2,1006
2,1358
2,385
2,320
2,1118
1,1314
1,1327
2,468
2,1236
4,534
2,740
1,815
2,1358
2,199
1,1241
2,817
2,731
2,660
2,224
1,1471
2,457
1,363
2,447
1,192
2,789
2,96
1,226
1,769
1,750
2,1116
1,526
2,915
2,1215
2,768
1,548
1,1443
2,1046
4,395
2,820
2,669
1,595
2,973
2,1258
2,1036
1,277
2,237
2,199
1,84
2,393
2,799
2,1518
2,168
2,906
2,1116
2,1368
2,674
2,1350
2,1350
2,702
2,947
2,674
2,803
1,361
2,957
2,830
1,566
2,958
2,1350
2,835
2,717
2,961
2,742
2,897
2,1645
1,547
2,1032
1,657
2,814
1,926
2,686
2,349
1,314
2,798
2,398
2,1050
2,1057
1,362
2,237
2,1257
2,808
2,362
2,1172
2,820
1,1135
1,306
1,499
1,1104
4,424
2,937
2,1018
2,661
4,274
2,1443
2,753
2,1479
2,808
2,227
1,256
2,686
2,479
2,618
2,716
2,153
4,352
1,175
2,1700
2,1286
2,1287
2,912
2,958
2,1063
2,369
2,310
1,175
1,517
2,660
2,1243
2,651
2,694
2,986
1,517
2,1492
2,973
2,1116
2,944
2,1045
2,716
2,1050
1,363
2,857
2,632
2,1479
1,1099
1,743
1,1163
4,444
2,857
2,1275
1,842
2,391
1,385
2,248
2,857
3,347
2,803
1,949
1,1188
2,717
2,230
2,386
2,777
2,278
2,647
2,669
2,657
2,846
4,349
2,1244
1,755
2,594
1,175
2,969
1,1341
2,1737
2,598
1,567
2,207
2,621
1,307
1,1035
3,165
2,622
4,493
2,1737
4,351
2,1737
1,1398
2,1352
2,342
2,873
2,342
1,710
2,1351
2,255
2,791
1,760
2,145
2,1533
2,1036
2,933
2,1162
1,601
2,483
2,816
2,813
1,1524
1,4
2,237
1,1524
1,955
2,1013
1,963
2,822
3,317
2,832
2,725
2,725
1,536
2,1447
2,821
1,1174
1,373
2,406
2,1572
2,1178
2,278
1,756
2,669
2,805
2,377
2,1004
1,805
2,857
1,334
1,514
2,766
2,1658
2,1286
2,858
4,445
2,722
4,650
2,1102
2,284
2,125
1,294
2,1722
2,873
2,907
2,722
2,935
2,336
2,722
2,1674
2,689
2,763
1,361
2,1162
2,552
1,261
2,846
2,876
2,1213
2,821
2,611
4,282
2,832
2,669
2,1017
4,517
2,698
1,1362
2,433
4,372
1,604
2,210
2,1468
4,323
1,977
1,451
1,1450
1,299
2,554
2,581
2,476
2,414
2,669
2,895
2,450
1,708
1,1289
2,554
1,1109
2,720
2,657
2,657
4,654
2,1311
2,87
2,973
2,804
2,391
2,1175
1,539
2,937
2,806
2,804
2,615
2,98
1,1201
1,213
4,654
2,804
1,67
2,804
2,1164
1,744
1,1174
2,1164
2,405
1,1130
2,657
1,684
2,1438
2,657
2,483
1,537
1,361
2,728
4,352
2,1385
2,355
2,394
2,877
2,606
1,794
2,1391
1,1393
2,316
2,630
2,748
4,548
1,488
2,810
2,177
1,1174
2,796
1,601
2,526
2,768
2,768
2,1577
2,685
2,1062
2,740
2,873
2,777
2,727
2,184
1,760
1,800
1,643
2,810
2,1577
2,731
1,945
2,1391
2,821
2,604
2,847
2,821
2,1620
2,821
2,731
1,616
3,442
1,1005
2,720
1,616
2,233
3,247
3,367
2,1179
2,1492
2,716
2,383
2,1434
2,1243
3,152
2,869
2,317
1,191
3,204
2,618
2,728
1,1174
2,879
2,789
2,678
2,716
1,601
1,658
1,801
2,1023
2,327
1,422
2,1441
1,1274
1,296
1,717
2,1325
2,753
1,1431
1,389
2,815
4,532
2,658
4,422
1,1411
2,728
2,1411
4,323
2,1641
2,362
4,407
2,585
2,661
2,534
1,1411
2,418
2,585
1,620
